"category";"shop_sku";"name [fr]";"attribut_marque";"description [fr]";"ean";"media";"media1";"media2";"media3";"couleurboutique";"attribut_materiautoilescadresetchassis";"line_number";"errors"
"objetsetboitesadecorer";"37964";"Objet de décoration - Ensemble de 2 Bougeoirs en porcelaine - Couleur Noir";"marquehabitatetjardin";"Descriptif :  Objet de décoration - Ensemble de 2 bougeoirs avec décorations en suspension - Un superbe objet de décoration qui mettra en valeur votre intérieur. Ambiance chaleureuse assurée toute lannée.Couleur :  Coloris Noir.Type de produits :  Bougeoire.Motif :  Petits pendentifs en suspension.Matière :  Porcelaine.Dimensions :  Hauteur : 26 cm.";"3700746437982";"https://i.habitatetjardin.com/files/produits/712/825_6674black_vue0.jpg";"";"";"";"couleurrootnoir";"";"514";"MCM-05000|The 'media' attribute is required."
"aspirateuretsouffleursdejardin";"4297";"Pompe centrifuge ""DP06"" en plastique";"marquehabitatetjardin";"Pompe centrifuge à immersion ""DP06"" sur 2 piles R20.   Usage domestique.   Transvasement de liquide. Kérosène et huile légère.   Débit 7 à 9 L/mn, canne 370 mm, flexible 600 mm, masse 300 g.     Poids :  1 kg.Colisage :  1 colis : - 1 x 1 x 1 m, 1 kg.Type pompe :  Centrifuge.";"3700746486218";"https://i.habitatetjardin.com/files/produits/162/162_dp06.jpg";"";"";"";"";"";"515";"MCM-05000|The 'media' attribute is required."
"entretienpiscine";"49474";"Materiel d'hivernage - Kit d'hivernage pour piscine de 30m3";"marquehabitatetjardin";"Le kit matériel d'hivernage pour piscine de 30m3   2 Gizzmos à visser dans le fond du skimmer après avoir retiré le panier   3 bouchons caoutchouc 1"" 1/2 à poser sur le refoulement et la prise balai   12 flotteurs de 50 cm qui s'accrochent les uns aux autres et se posent en diagonale sur l'eau Poids :  15 kg.Colisage :  1 colis : - 0,48 x 0,34 x 0,515 m, 26 kg.";"3700746401228";"https://i.habitatetjardin.com/files/produits/470/470_Kitmat.jpg";"";"";"";"";"";"518";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"50986";"Enrouleur de Bâche été piscine hors-sol";"marquehabitatetjardin";"Pratique, cet enrouleur vous aidera à positionner rapidement votre bâche sur votre piscine. Clipsable sur les côtés, vous pourrez aisément l'enlever puis le repositionner à souhait.Utilisation :  Pour piscine hors-sol.Longueur :  De 6 à 9 m.Poids :  12 kg.Colisage :  2 colis : - 0,3 x 0,3 x 0,3 m, 5 kg - 2,46 x 0,16 x 0,9 m, 6,8 kg.";"3700746400160";"https://i.habitatetjardin.com/files/produits/932/932_bd4166_vue0.jpg";"https://i.habitatetjardin.com/files/produits/932/932_bd4166_vue1.jpg";"";"";"";"";"524";"MCM-05000|The 'media' attribute is required."
"entretienpiscine";"51815";"Materiel d'hivernage - Kit d'hivernage pour piscine jusqu'à 40m3";"marquehabitatetjardin";"Le kit matériel d'hivernage pour piscine jusqu'à 40m3                      2 Gizzmos à visser dans le fond du skimmer après avoir retiré le panier         3 bouchons caoutchouc 1"" 1/2 à poser sur le refoulement et la prise balai         20 flotteurs de 50 cm qui s'accrochent les uns aux autres et se posent en diagonale sur l'eau                     Poids :  39 kg.Colisage :  2 colis : - 0,48 x 0,345 x 0,515 m, 20 kg - 0,48 x 0,345 x 0,515 m, 19 kg.Type de produit :  Flotteurs.";"3700746401631";"https://i.habitatetjardin.com/files/produits/470/470_Kitmat.jpg";"";"";"";"";"";"530";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"55025";"Bâche à bulles pour piscine Rio - 400 µ - bordée 1 côté - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour piscine RIO octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 400 µ.Dimensions de la bâche :  5.07 X 3.16 m .Colisage :  1 colis : - 68 x 56 x 52 m, 6 kg.";"3700746438477";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"539";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"55026";"Bâche à bulles pour Baléares / Cancun - 400µ - bordée 1 coté - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Baléares / Cancun octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 400 µ.Dimensions de la bâche :  6.00 x 3.90 m.Colisage :  1 colis : - 0,9 x 0,6 x 0,6 m, 8 kg.";"3700746407565";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"540";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"55027";"Bâche à bulles pour piscine Hawai - 400 µ - bordée 1 coté - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour piscine Hawaï hexagonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 400 µ.Dimensions de la bâche :  Ø 3.60 m.Colisage :  1 colis : - 1 x 1 x 1 m, 1 kg.";"3700746444799";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"541";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"55029";"Bâche hiver cover1 pour piscine Rio 580 gr/m²";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Rio octogonale allongée - Ourlet de renfort - Sandow périphérique - Trous d'évacuation des eaux pluviales - Traité anti-UV - Oeillet tous les 80 cm environ.Matière :  PVC 580 gr/m².Dimensions de la piscine :  5.60 X 3.70.Poids :  6.Colisage :  1 colis : - 68 x 56 x 52 m, 6 kg.";"3700746407206";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"542";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"55030";"Bâche hiver cover 1 pour piscine Baléares";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Baléares octogonale allongée - Ourlet de renfort - Sandow périphérique - Trous d'évacuation des eaux pluviales - Traité anti-UV - Oeillet tous les 80 cm environ.Matière :  PVC 580 gr/m².Dimensions de la piscine :  6.50 x 4.40 m.Poids :  9.Colisage :  1 colis : - 0,90 x 0,60 x 0,60 m, 9 kg.";"3700746459786";"https://i.habitatetjardin.com/files/produits/897/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"543";"MCM-05000|The 'media' attribute is required."
