shop_sku;title;description;brand;ean;category;error
49474;Materiel d'hivernage - kit d'hivernage pour piscine de 30m3;Le kit matériel d'hivernage pour piscine de 30m3   2 Gizzmos à visser dans le fond du skimmer après avoir retiré le panier   3 bouchons caoutchouc 1 1/2 à poser sur le refoulement et la prise balai   12 flotteurs de 50 cm qui s'accrochent les uns aux autres et se posent en diagonale sur l'eau <strong>Poids : </strong> 15 kg.<br><strong>Colisage : </strong> 1 colis : - 0,48 x 0,34 x 0,515 m, 26 kg.<br>;4452;3700746401228;;Media invalide | Les dimensions de l''image "1593191036_470_Kitmat.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
50986;Enrouleur de bâche été piscine hors-sol;Pratique, cet enrouleur vous aidera à positionner rapidement votre bâche sur votre piscine. Clipsable sur les côtés, vous pourrez aisément l'enlever puis le repositionner à souhait.<strong>Utilisation : </strong> Pour piscine hors-sol.<br><strong>Longueur : </strong> De 6 à 9 m.<br><strong>Poids : </strong> 12 kg.<br><strong>Colisage : </strong> 2 colis : - 0,3 x 0,3 x 0,3 m, 5 kg - 2,46 x 0,16 x 0,9 m, 6,8 kg.<br>;4452;3700746400160;;Media invalide | Les dimensions de l''image "1593191041_932_bd4166_vue0.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
51815;Materiel d'hivernage - kit d'hivernage pour piscine jusqu'à 40m3;Le kit matériel d'hivernage pour piscine jusqu'à 40m3<br type=_moz />                      2 Gizzmos à visser dans le fond du skimmer après avoir retiré le panier         3 bouchons caoutchouc 1 1/2 à poser sur le refoulement et la prise balai         20 flotteurs de 50 cm qui s'accrochent les uns aux autres et se posent en diagonale sur l'eau                     <strong>Poids : </strong> 39 kg.<br><strong>Colisage : </strong> 2 colis : - 0,48 x 0,345 x 0,515 m, 20 kg - 0,48 x 0,345 x 0,515 m, 19 kg.<br><strong>Type de produit : </strong> Flotteurs.<br>;4452;3700746401631;;Media invalide | Les dimensions de l''image "1593191055_470_Kitmat.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
55025;Bâche à bulles pour piscine rio - 400 µ - bordée 1 côté - bleu;<br /><strong>Descriptif : </strong> Bâche à bulles bleu pour piscine RIO octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.<br><strong>Matière : </strong> Polyéthylène 400 µ.<br><strong>Dimensions de la bâche : </strong> 5.07 X 3.16 m .<br><strong>Colisage : </strong> 1 colis : - 68 x 56 x 52 m, 6 kg.<br>;4452;3700746438477;;Media invalide | Les dimensions de l''image "1593191069_bache_ete_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
55026;Bâche à bulles pour baléares / cancun - 400µ - bordée 1 coté - bleu;<br /><strong>Descriptif : </strong> Bâche à bulles bleu pour Baléares / Cancun octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.<br><strong>Matière : </strong> Polyéthylène 400 µ.<br><strong>Dimensions de la bâche : </strong> 6.00 x 3.90 m.<br><strong>Colisage : </strong> 1 colis : - 0,9 x 0,6 x 0,6 m, 8 kg.<br>;4452;3700746407565;;Media invalide | Les dimensions de l''image "1593191070_bache_ete_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
55027;Bâche à bulles pour piscine hawai - 400 µ - bordée 1 coté - bleu;<br /><strong>Descriptif : </strong> Bâche à bulles bleu pour piscine Hawaï hexagonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.<br><strong>Matière : </strong> Polyéthylène 400 µ.<br><strong>Dimensions de la bâche : </strong> Ø 3.60 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 1 kg.<br>;4452;3700746444799;;Media invalide | Les dimensions de l''image "1593191071_bache_ete_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
55029;Bâche hiver cover1 pour piscine rio 580 gr/m²;<strong>Descriptif : </strong> Bâche hiver pour piscine Rio octogonale allongée - Ourlet de renfort - Sandow périphérique - Trous d'évacuation des eaux pluviales - Traité anti-UV - Oeillet tous les 80 cm environ.<br><strong>Matière : </strong> PVC 580 gr/m².<br><strong>Dimensions de la piscine : </strong> 5.60 X 3.70.<br><strong>Poids : </strong> 6.<br><strong>Colisage : </strong> 1 colis : - 68 x 56 x 52 m, 6 kg.<br>;4452;3700746407206;;Media invalide | Les dimensions de l''image "1593191072_bache_hiver_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
55030;Bâche hiver cover 1 pour piscine baléares;<strong>Descriptif : </strong> Bâche hiver pour piscine Baléares octogonale allongée - Ourlet de renfort - Sandow périphérique - Trous d'évacuation des eaux pluviales - Traité anti-UV - Oeillet tous les 80 cm environ.<br><strong>Matière : </strong> PVC 580 gr/m².<br><strong>Dimensions de la piscine : </strong> 6.50 x 4.40 m.<br><strong>Poids : </strong> 9.<br><strong>Colisage : </strong> 1 colis : - 0,90 x 0,60 x 0,60 m, 9 kg.<br>;4452;3700746459786;;Media invalide | Les dimensions de l''image "1593191073_bache_hiver_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
55031;Bâche hiver cover 1 pour piscine hawai - 580 gr/m²;<br /><strong>Descriptif : </strong> Bâche hiver pour piscine Hawaï hexagonale - Ourlet de renfort - Sandow périphérique - Trous d'évacuation des eaux pluviales - Traité anti-UV - Oeillet tous les 80 cm environ.<br><strong>Matière : </strong> PVC 580 gr/m².<br><strong>Dimensions de la piscine : </strong> Ø 4.10 m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 1 kg.<br>;4452;3700746486560;;Media invalide | Les dimensions de l''image "1593191074_bache_hiver_max.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
61834;Bâche à bulles pour piscine ibiza / sevilla - 400 µ - bordée 1 côté - bleu;<strong>Descriptif : </strong> Bâche à bulles bleu pour piscine Ibiza / Sevilla octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.<br><strong>Matière : </strong> Polyéthylène 400 µ.<br><strong>Dimensions de la bâche : </strong> 8.04 x 4.04m.<br><strong>Colisage : </strong> 1 colis : - 1 x 1 x 1 m, 1 kg.<br>;4452;3700746407411;;Media invalide | Les dimensions de l''image "1593191121_1206_61834_vue0.jpg" ne sont pas supportées (Min={Width=537, Height=410}, Max={Width=2500, Height=2500})
